"","X","parent","child"
"1",1,70.5,61.7
"2",2,68.5,61.7
"3",3,65.5,61.7
"4",4,64.5,400
"5",5,64,61.7
"6",6,67.5,62.2
"7",7,67.5,62.2
"8",8,67.5,62.2
"9",9,66.5,62.2
"10",10,66.5,62.2
"11",11,66.5,62.2
"12",12,64.5,62.2
"13",13,70.5,63.2
"14",14,69.5,63.2
"15",15,68.5,63.2
"16",16,68.5,63.2
"17",17,68.5,63.2
"18",18,68.5,63.2
"19",19,68.5,63.2
"20",20,68.5,63.2
"21",21,68.5,63.2
"22",22,67.5,63.2
"23",23,67.5,63.2
"24",24,67.5,63.2
"25",25,67.5,63.2
"26",26,67.5,63.2
"27",27,66.5,63.2
"28",28,66.5,63.2
"29",29,66.5,63.2
"30",30,65.5,63.2
"31",31,65.5,63.2
"32",32,65.5,63.2
"33",33,65.5,63.2
"34",34,65.5,63.2
"35",35,65.5,63.2
"36",36,65.5,63.2
"37",37,65.5,63.2
"38",38,65.5,63.2
"39",39,64.5,63.2
"40",40,64.5,63.2
"41",41,64.5,63.2
"42",42,64.5,63.2
"43",43,64,63.2
"44",44,64,63.2
"45",45,69.5,64.2
"46",46,69.5,64.2
"47",47,69.5,64.2
"48",48,69.5,64.2
"49",49,69.5,64.2
"50",50,69.5,64.2
"51",51,69.5,64.2
"52",52,69.5,64.2
"53",53,69.5,64.2
"54",54,69.5,64.2
"55",55,69.5,64.2
"56",56,69.5,64.2
"57",57,69.5,64.2
"58",58,69.5,64.2
"59",59,69.5,64.2
"60",60,69.5,64.2
"61",61,68.5,64.2
"62",62,68.5,64.2
"63",63,68.5,64.2
"64",64,68.5,64.2
"65",65,68.5,64.2
"66",66,68.5,64.2
"67",67,68.5,64.2
"68",68,68.5,64.2
"69",69,68.5,64.2
"70",70,68.5,64.2
"71",71,68.5,64.2
"72",72,67.5,64.2
"73",73,67.5,64.2
"74",74,67.5,64.2
"75",75,67.5,64.2
"76",76,67.5,64.2
"77",77,67.5,64.2
"78",78,67.5,64.2
"79",79,67.5,64.2
"80",80,67.5,64.2
"81",81,67.5,64.2
"82",82,67.5,64.2
"83",83,67.5,64.2
"84",84,67.5,64.2
"85",85,67.5,64.2
"86",86,66.5,64.2
"87",87,66.5,64.2
"88",88,66.5,64.2
"89",89,66.5,64.2
"90",90,66.5,64.2
"91",91,65.5,64.2
"92",92,65.5,64.2
"93",93,65.5,64.2
"94",94,65.5,64.2
"95",95,65.5,64.2
"96",96,64.5,64.2
"97",97,64.5,64.2
"98",98,64.5,64.2
"99",99,64.5,64.2
"100",100,64,64.2
"101",101,64,64.2
"102",102,64,64.2
"103",103,64,64.2
"104",104,71.5,65.2
"105",105,70.5,65.2
"106",106,69.5,65.2
"107",107,69.5,65.2
"108",108,69.5,65.2
"109",109,69.5,65.2
"110",110,68.5,65.2
"111",111,68.5,65.2
"112",112,68.5,65.2
"113",113,68.5,65.2
"114",114,68.5,65.2
"115",115,68.5,65.2
"116",116,68.5,65.2
"117",117,68.5,65.2
"118",118,68.5,65.2
"119",119,68.5,65.2
"120",120,68.5,65.2
"121",121,68.5,65.2
"122",122,68.5,65.2
"123",123,68.5,65.2
"124",124,68.5,65.2
"125",125,68.5,65.2
"126",126,67.5,65.2
"127",127,67.5,65.2
"128",128,67.5,65.2
"129",129,67.5,65.2
"130",130,67.5,65.2
"131",131,67.5,65.2
"132",132,67.5,65.2
"133",133,67.5,65.2
"134",134,67.5,65.2
"135",135,67.5,65.2
"136",136,67.5,65.2
"137",137,67.5,65.2
"138",138,67.5,65.2
"139",139,67.5,65.2
"140",140,67.5,65.2
"141",141,66.5,65.2
"142",142,66.5,65.2
"143",143,65.5,65.2
"144",144,65.5,65.2
"145",145,65.5,65.2
"146",146,65.5,65.2
"147",147,65.5,65.2
"148",148,65.5,65.2
"149",149,65.5,65.2
"150",150,64.5,65.2
"151",151,64,65.2
"152",152,71.5,66.2
"153",153,71.5,66.2
"154",154,71.5,66.2
"155",155,70.5,66.2
"156",156,69.5,66.2
"157",157,69.5,66.2
"158",158,69.5,66.2
"159",159,69.5,66.2
"160",160,69.5,66.2
"161",161,69.5,66.2
"162",162,69.5,66.2
"163",163,69.5,66.2
"164",164,69.5,66.2
"165",165,69.5,66.2
"166",166,69.5,66.2
"167",167,69.5,66.2
"168",168,69.5,66.2
